Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Signaling By FGFR In Disease R-HSA-1226099	3/61	1.1966034342330307E-5	1.8989576238915488E-4	0	0	85.89224137931035	973.4544261097905	NRAS;PIK3CA;FGF4
TP53 Regulates Transcription Of DNA Repair Genes R-HSA-6796648	3/62	1.2568820761891242E-5	1.9115081575376265E-4	0	0	84.4322033898305	952.7575826650119	JUN;CHEK1;TP53
Signaling By FGFR2 R-HSA-5654738	3/72	1.9731332115943736E-5	2.8807744889277855E-4	0	0	72.15942028985508	781.7248443110266	NRAS;PIK3CA;FGF4
RNA Polymerase II Transcription R-HSA-73857	7/1312	2.073520920763659E-5	2.910904369533598E-4	0	0	12.524904214559387	135.06452619917204	SMAD4;JUN;NRAS;RAD51;FBXW7;CHEK1;TP53
Signaling By Receptor Tyrosine Kinases R-HSA-9006934	5/496	2.2472910686496162E-5	3.038004592804111E-4	0	0	19.85132382892057	212.47268808601822	NRAS;PIK3CA;CHEK1;KDR;FGF4
Signaling By FGFR4 In Disease R-HSA-5655291	2/10	2.354311916028365E-5	3.039139574305613E-4	0	0	384.1730769230769	4094.008377584964	NRAS;PIK3CA
Signaling By Insulin Receptor R-HSA-74752	3/77	2.4146588398592543E-5	3.039139574305613E-4	0	0	67.26689189189189	715.1390452573771	NRAS;PIK3CA;FGF4
Signaling By PDGFRA Extracellular Domain Mutants R-HSA-9673770	2/11	2.8762512286659284E-5	3.499438994876879E-4	0	0	341.47008547008545	3570.560666740525	NRAS;PIK3CA
Signaling By FGFR R-HSA-190236	3/86	3.3645530904220326E-5	3.961489929045296E-4	0	0	59.94578313253012	617.4194056195122	NRAS;PIK3CA;FGF4
PIP3 Activates AKT Signaling R-HSA-1257604	4/268	3.830646011580356E-5	4.369330606958844E-4	0	0	27.163911845730027	276.2540498927395	JUN;PIK3CA;TP53;FGF4
Gene Expression (Transcription) R-HSA-74160	7/1449	3.956560600799304E-5	4.3761958160355935E-4	0	0	11.251820388349515	114.06589574137448	SMAD4;JUN;NRAS;RAD51;FBXW7;CHEK1;TP53
VEGFA-VEGFR2 Pathway R-HSA-4420097	3/93	4.252792329630745E-5	4.565497647985947E-4	0	0	55.263888888888886	556.2503662902565	NRAS;PIK3CA;KDR
Transcriptional Regulation By RUNX3 R-HSA-8878159	3/95	4.532160895808675E-5	4.726396362771904E-4	0	0	54.057065217391305	540.6639881984726	SMAD4;NRAS;TP53
Constitutive Signaling By EGFRvIII R-HSA-5637810	2/14	4.752727986362482E-5	4.8187380972841833E-4	0	0	256.06410256410254	2548.915005081115	NRAS;PIK3CA
Signaling By ERBB2 ECD Mutants R-HSA-9665348	2/15	5.4815480888197884E-5	5.245075773685731E-4	0	0	236.3550295857988	2319.006332041941	NRAS;PIK3CA
Signaling By FLT3 ITD And TKD Mutants R-HSA-9703648	2/15	5.4815480888197884E-5	5.245075773685731E-4	0	0	236.3550295857988	2319.006332041941	NRAS;PIK3CA
Signaling By VEGF R-HSA-194138	3/102	5.604327539006671E-5	5.245075773685731E-4	0	0	50.217171717171716	491.5952973947183	NRAS;PIK3CA;KDR
Signaling By NTRK3 (TRKC) R-HSA-9034015	2/16	6.261919708622724E-5	5.714001734118235E-4	0	0	219.46153846153845	2124.04503914007	NRAS;PIK3CA
Intracellular Signaling By Second Messengers R-HSA-9006925	4/306	6.419871153097677E-5	5.715251148489395E-4	0	0	23.7001806140879	228.79034334786226	JUN;PIK3CA;TP53;FGF4
Tie2 Signaling R-HSA-210993	2/17	7.093775487935324E-5	6.021460588596264E-4	0	0	204.82051282051282	1956.7953221838306	NRAS;PIK3CA
SHC-mediated cascade:FGFR3 R-HSA-5654704	2/17	7.093775487935324E-5	6.021460588596264E-4	0	0	204.82051282051282	1956.7953221838306	NRAS;FGF4
MAPK Family Signaling Cascades R-HSA-5683057	4/318	7.453550096769761E-5	6.065880342880013E-4	0	0	22.780544296467863	216.51164694602747	JUN;NRAS;PIK3CA;FGF4
PI-3K cascade:FGFR3 R-HSA-5654710	2/18	7.977048122143578E-5	6.065880342880013E-4	0	0	192.0096153846154	1811.8712842401887	PIK3CA;FGF4
VEGFR2 Mediated Cell Proliferation R-HSA-5218921	2/18	7.977048122143578E-5	6.065880342880013E-4	0	0	192.0096153846154	1811.8712842401887	NRAS;KDR
Constitutive Signaling By Ligand-Responsive EGFR Cancer Variants R-HSA-1236382	2/18	7.977048122143578E-5	6.065880342880013E-4	0	0	192.0096153846154	1811.8712842401887	NRAS;PIK3CA
Signaling By FLT3 Fusion Proteins R-HSA-9703465	2/18	7.977048122143578E-5	6.065880342880013E-4	0	0	192.0096153846154	1811.8712842401887	NRAS;PIK3CA
FRS-mediated FGFR3 Signaling R-HSA-5654706	2/19	8.911670367707504E-5	6.377960165123999E-4	0	0	180.7058823529412	1685.1842294846974	NRAS;FGF4
SHC-mediated cascade:FGFR4 R-HSA-5654719	2/19	8.911670367707504E-5	6.377960165123999E-4	0	0	180.7058823529412	1685.1842294846974	NRAS;FGF4
Signaling By KIT In Disease R-HSA-9669938	2/19	8.911670367707504E-5	6.377960165123999E-4	0	0	180.7058823529412	1685.1842294846974	NRAS;PIK3CA
PI-3K cascade:FGFR4 R-HSA-5654720	2/20	9.897575036981038E-5	6.816254506600148E-4	0	0	170.65811965811966	1573.5763478145914	PIK3CA;FGF4
SHC-mediated cascade:FGFR1 R-HSA-5654688	2/20	9.897575036981038E-5	6.816254506600148E-4	0	0	170.65811965811966	1573.5763478145914	NRAS;FGF4
FRS-mediated FGFR4 Signaling R-HSA-5654712	2/21	1.0934695002572602E-4	7.25666122898E-4	0	0	161.66801619433198	1474.5715026865741	NRAS;FGF4
PI-3K cascade:FGFR1 R-HSA-5654689	2/21	1.0934695002572602E-4	7.25666122898E-4	0	0	161.66801619433198	1474.5715026865741	PIK3CA;FGF4
Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202	3/130	1.1531017920560586E-4	7.515752751793954E-4	0	0	39.09055118110236	354.4686168356995	JUN;NRAS;PIK3CA
FRS-mediated FGFR1 Signaling R-HSA-5654693	2/22	1.2022963193032818E-4	7.56617511285686E-4	0	0	153.57692307692307	1386.20174723602	NRAS;FGF4
SHC-mediated cascade:FGFR2 R-HSA-5654699	2/22	1.2022963193032818E-4	7.56617511285686E-4	0	0	153.57692307692307	1386.20174723602	NRAS;FGF4
PI-3K cascade:FGFR2 R-HSA-5654695	2/23	1.316231259729039E-4	8.007073496684988E-4	0	0	146.25641025641025	1306.8840737214405	PIK3CA;FGF4
Signaling By NTRK2 (TRKB) R-HSA-9006115	2/23	1.316231259729039E-4	8.007073496684988E-4	0	0	146.25641025641025	1306.8840737214405	NRAS;PIK3CA
FRS-mediated FGFR2 Signaling R-HSA-5654700	2/24	1.4352676264691865E-4	8.059579748634662E-4	0	0	139.6013986013986	1235.3312463141472	NRAS;FGF4
Defective Intrinsic Pathway For Apoptosis R-HSA-9734009	2/24	1.4352676264691865E-4	8.059579748634662E-4	0	0	139.6013986013986	1235.3312463141472	JUN;TP53
Signaling By EGFR In Cancer R-HSA-1643713	2/24	1.4352676264691865E-4	8.059579748634662E-4	0	0	139.6013986013986	1235.3312463141472	NRAS;PIK3CA
Signaling By ERBB2 KD Mutants R-HSA-9664565	2/24	1.4352676264691865E-4	8.059579748634662E-4	0	0	139.6013986013986	1235.3312463141472	NRAS;PIK3CA
Signaling By Erythropoietin R-HSA-9006335	2/24	1.4352676264691865E-4	8.059579748634662E-4	0	0	139.6013986013986	1235.3312463141472	NRAS;PIK3CA
Signaling By ERBB2 In Cancer R-HSA-1227990	2/25	1.559398729733465E-4	8.623947520495679E-4	0	0	133.52508361204013	1170.4862312462878	NRAS;PIK3CA
DNA Double-Strand Break Repair R-HSA-5693532	3/149	1.7265212428105875E-4	9.405675427251708E-4	0	0	33.9708904109589	294.33166999989436	RAD51;CHEK1;TP53
FLT3 Signaling In Disease R-HSA-9682385	2/27	1.8229184189191621E-4	9.784782689786678E-4	0	0	122.83076923076923	1057.5608400035376	NRAS;PIK3CA
DAP12 Signaling R-HSA-2424491	2/28	1.9622936554570858E-4	0.0010231959774883376	0	0	118.10059171597634	1008.1333830209776	NRAS;PIK3CA
Downstream Signal Transduction R-HSA-186763	2/28	1.9622936554570858E-4	0.0010231959774883376	0	0	118.10059171597634	1008.1333830209776	NRAS;PIK3CA
FCERI Mediated MAPK Activation R-HSA-2871796	2/29	2.1067369304735427E-4	0.0010830408163702014	0	0	113.72079772079772	962.6693082346335	JUN;NRAS
FGFR1 Mutant Receptor Activation R-HSA-1839124	2/30	2.256241583974691E-4	0.0011437891363205032	0	0	109.65384615384616	920.7238662710552	PIK3CA;FGF4
Transcriptional Regulation By E2F6 R-HSA-8953750	2/34	2.9047409965205666E-4	0.0014523704982602834	0	0	95.92788461538461	781.2363223590568	RAD51;CHEK1
ESR-mediated Signaling R-HSA-8939211	3/188	3.4220363603582103E-4	0.001676048164580176	0	0	26.756756756756758	213.52171690220925	JUN;NRAS;PIK3CA
FLT3 Signaling R-HSA-9607240	2/37	3.4439345847537867E-4	0.001676048164580176	0	0	87.6923076923077	699.2344145157014	NRAS;PIK3CA
Association Of TriC/CCT With Target Proteins During Biosynthesis R-HSA-390471	2/38	3.633691227089321E-4	0.0017451280235363186	0	0	85.25213675213675	675.2047128538046	FBXW7;TP53
Presynaptic Phase Of Homologous DNA Pairing And Strand Exchange R-HSA-5693616	2/40	4.0282030348904685E-4	0.001909472867188339	0	0	80.75708502024291	631.279748139968	RAD51;CHEK1
Signaling By NOTCH R-HSA-157118	3/203	4.284286446874797E-4	0.0020048263501401295	0	0	24.73125	191.80039884838558	JUN;FBXW7;TP53
Homologous DNA Pairing And Strand Exchange R-HSA-5693579	2/43	4.6573681352710507E-4	0.002124924211717417	0	0	74.83677298311444	574.139479895918	RAD51;CHEK1
DAP12 Interactions R-HSA-2172127	2/43	4.6573681352710507E-4	0.002124924211717417	0	0	74.83677298311444	574.139479895918	NRAS;PIK3CA
PI3K Cascade R-HSA-109704	2/44	4.8770361358673397E-4	0.002197676777273554	0	0	73.05128205128206	557.074662869983	PIK3CA;FGF4
Signaling By EGFR R-HSA-177929	2/49	6.049677843536496E-4	0.0026604004974588205	0	0	65.26350245499182	483.6244393301046	NRAS;PIK3CA
Signaling By ERBB2 R-HSA-1227986	2/49	6.049677843536496E-4	0.0026604004974588205	0	0	65.26350245499182	483.6244393301046	NRAS;PIK3CA
Signaling By PDGF R-HSA-186797	2/52	6.812468428374356E-4	0.0029601797337579045	0	0	61.33846153846154	447.25465799162714	NRAS;PIK3CA
Signaling By ERBB4 R-HSA-1236394	2/57	8.181896125140755E-4	0.0035134024537369123	0	0	55.74825174825175	396.2817896791765	NRAS;PIK3CA
Signaling By Nuclear Receptors R-HSA-9006931	3/260	8.80161726539912E-4	0.0037355701184542778	0	0	19.19066147859922	135.01407355549344	JUN;NRAS;PIK3CA
Regulation Of PTEN Gene Transcription R-HSA-8943724	2/61	9.365269021087002E-4	0.003929107118042248	0	0	51.958279009126464	362.32234580030286	JUN;TP53
Pre-NOTCH Transcription And Translation R-HSA-1912408	2/62	9.673256915685465E-4	0.00401220315252863	0	0	51.08974358974359	354.61264900622035	JUN;TP53
RAF/MAP Kinase Cascade R-HSA-5673001	3/271	9.922007955269077E-4	0.004049914172107004	0	0	18.392723880597014	127.19644641361876	NRAS;PIK3CA;FGF4
Signaling By MET R-HSA-6806834	2/63	9.986089739441929E-4	0.004049914172107004	0	0	50.24968474148802	347.18247232150554	NRAS;PIK3CA
MAPK1/MAPK3 Signaling R-HSA-5684996	3/277	0.0010569635287190654	0.004239469098708339	0	0	17.98448905109489	123.23610486034175	NRAS;PIK3CA;FGF4
G1/S DNA Damage Checkpoints R-HSA-69615	2/67	0.0011285741249095066	0.004429350060128709	0	0	47.14792899408284	319.9835776705031	CHEK1;TP53
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	2/67	0.0011285741249095066	0.004429350060128709	0	0	47.14792899408284	319.9835776705031	RAD51;CHEK1
Diseases Of Programmed Cell Death R-HSA-9645723	2/71	0.0012662395991897006	0.004916781422385539	0	0	44.405797101449274	296.26232154713927	JUN;TP53
Extra-nuclear Estrogen Signaling R-HSA-9009391	2/73	0.0013379471101985043	0.005140533633920569	0	0	43.15059588299025	285.51104598113415	NRAS;PIK3CA
DNA Repair R-HSA-73894	3/310	0.0014613068651190063	0.005556010476754555	0	0	16.02442996742671	104.61427527752096	RAD51;CHEK1;TP53
G2/M DNA Damage Checkpoint R-HSA-69473	2/77	0.0014870860669846193	0.005568292417558977	0	0	40.84102564102564	265.91333408266553	CHEK1;TP53
Cytokine Signaling In Immune System R-HSA-1280215	4/702	0.0015075329556514696	0.005568292417558977	0	0	10.047929148215681	65.2842168176832	JUN;NRAS;PIK3CA;TP53
Pre-NOTCH Expression And Processing R-HSA-1912422	2/78	0.0015255595664545143	0.005568292417558977	0	0	40.30161943319838	261.37188116066267	JUN;TP53
Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530	2/78	0.0015255595664545143	0.005568292417558977	0	0	40.30161943319838	261.37188116066267	PIK3CA;FGF4
Chaperonin-mediated Protein Folding R-HSA-390466	2/90	0.002024049790995552	0.0072429232716997695	0	0	34.78496503496503	215.75913477931095	FBXW7;TP53
Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756	2/90	0.002024049790995552	0.0072429232716997695	0	0	34.78496503496503	215.75913477931095	CHEK1;TP53
Transcriptional Regulation By TP53 R-HSA-3700989	3/354	0.0021358186654502056	0.007568677795041991	0	0	13.984330484330485	85.98832321590277	JUN;CHEK1;TP53
Oxidative Stress Induced Senescence R-HSA-2559580	2/93	0.002159214135851223	0.007578011149862465	0	0	33.633136094674555	206.4405576145173	JUN;TP53
Protein Folding R-HSA-391251	2/96	0.0022985611577693342	0.007914856816847235	0	0	32.55482815057283	197.78594479007498	FBXW7;TP53
MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871	2/96	0.0022985611577693342	0.007914856816847235	0	0	32.55482815057283	197.78594479007498	JUN;TP53
TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138	2/101	0.0025400550495659814	0.008664673767211058	0	0	30.902874902874903	184.66227750849544	JUN;TP53
MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155	2/102	0.0025897355285690606	0.008752346925256548	0	0	30.592307692307692	182.21388842339513	JUN;TP53
Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164	2/103	0.0026398751184425065	0.0087595856202865	0	0	30.28789032749429	179.81992168459897	JUN;TP53
Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181	2/103	0.0026398751184425065	0.0087595856202865	0	0	30.28789032749429	179.81992168459897	JUN;TP53
PI3K/AKT Signaling In Cancer R-HSA-2219528	2/105	0.0027415291407791365	0.009014938165625088	0	0	29.696788648244958	175.18846664723523	PIK3CA;FGF4
PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558	2/106	0.002793042329738444	0.009021773896942762	0	0	29.409763313609467	172.94775516727864	PIK3CA;FGF4
Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138	2/106	0.002793042329738444	0.009021773896942762	0	0	29.409763313609467	172.94775516727864	JUN;TP53
MyD88-independent TLR4 Cascade R-HSA-166166	2/107	0.002845012142231203	0.009109030104512184	0	0	29.128205128205128	170.75501291816587	JUN;TP53
MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058	2/112	0.0031116888600155428	0.00987622986004933	0	0	27.797202797202797	160.46184539900213	JUN;TP53
Negative Regulation Of PI3K/AKT Network R-HSA-199418	2/113	0.0031663854030102106	0.009963195449126955	0	0	27.545391545391546	158.52826212485263	PIK3CA;FGF4
HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567	2/114	0.003221534238839055	0.009964915230307247	0	0	27.298076923076923	156.63356900273516	RAD51;CHEK1
Signaling By NTRK1 (TRKA) R-HSA-187037	2/114	0.003221534238839055	0.009964915230307247	0	0	27.298076923076923	156.63356900273516	NRAS;PIK3CA
Transcriptional Regulation By RUNX2 R-HSA-8878166	2/119	0.003504041239607983	0.010658125437140948	0	0	26.12491781722551	147.7060618977154	SMAD4;FBXW7
Homology Directed Repair R-HSA-5693538	2/119	0.003504041239607983	0.010658125437140948	0	0	26.12491781722551	147.7060618977154	RAD51;CHEK1
Signaling By Membrane-Tethered Fusions Of PDGFRA Or PDGFRB R-HSA-9673768	1/5	0.00374469708393798	0.0109345154850989	0	0	356.80357142857144	1993.609466758919	KDR
Activation Of NOXA And Translocation To Mitochondria R-HSA-111448	1/5	0.00374469708393798	0.0109345154850989	0	0	356.80357142857144	1993.609466758919	TP53
RUNX3 Regulates BCL2L11 (BIM) Transcription R-HSA-8952158	1/5	0.00374469708393798	0.0109345154850989	0	0	356.80357142857144	1993.609466758919	SMAD4
Estrogen-stimulated Signaling Thru PRKCZ R-HSA-9634635	1/5	0.00374469708393798	0.0109345154850989	0	0	356.80357142857144	1993.609466758919	NRAS
FBXW7 Mutants And NOTCH1 In Cancer R-HSA-2644605	1/5	0.00374469708393798	0.0109345154850989	0	0	356.80357142857144	1993.609466758919	FBXW7
Signaling By Interleukins R-HSA-449147	3/453	0.004287808163407095	0.012327856868596275	0	0	10.852777777777778	59.16912298511184	JUN;PIK3CA;TP53
Signaling By NTRKs R-HSA-166520	2/132	0.0042908551466779975	0.012327856868596275	0	0	23.497041420118343	128.0886989134183	NRAS;PIK3CA
Cell Surface Interactions At Vascular Wall R-HSA-202733	2/134	0.004418547000406504	0.012327856868596275	0	0	23.138694638694638	125.45671512256779	NRAS;PIK3CA
Activated NTRK2 Signals Thru PI3K R-HSA-9028335	1/6	0.004492068393214533	0.012327856868596275	0	0	285.42857142857144	1542.8675927558304	PIK3CA
Activated NTRK3 Signals Thru PI3K R-HSA-9603381	1/6	0.004492068393214533	0.012327856868596275	0	0	285.42857142857144	1542.8675927558304	PIK3CA
RAS Signaling Downstream Of NF1 Loss-Of-Function Variants R-HSA-6802953	1/6	0.004492068393214533	0.012327856868596275	0	0	285.42857142857144	1542.8675927558304	NRAS
MET Activates PI3K/AKT Signaling R-HSA-8851907	1/6	0.004492068393214533	0.012327856868596275	0	0	285.42857142857144	1542.8675927558304	PIK3CA
SOS-mediated Signaling R-HSA-112412	1/6	0.004492068393214533	0.012327856868596275	0	0	285.42857142857144	1542.8675927558304	NRAS
PTEN Regulation R-HSA-6807070	2/139	0.004745456677111103	0.012926057366757854	0	0	22.288601909039865	119.25667139525875	JUN;TP53
Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016	2/140	0.004812150361469095	0.01301062875508311	0	0	22.12597547380156	118.0777292804548	JUN;TP53
Activated NTRK2 Signals Thru RAS R-HSA-9026519	1/7	0.005238916894144343	0.013856555553352794	0	0	237.8452380952381	1249.0776854949	NRAS
Activated NTRK3 Signals Thru RAS R-HSA-9034864	1/7	0.005238916894144343	0.013856555553352794	0	0	237.8452380952381	1249.0776854949	NRAS
Loss Of Function Of SMAD2/3 In Cancer R-HSA-3304349	1/7	0.005238916894144343	0.013856555553352794	0	0	237.8452380952381	1249.0776854949	SMAD4
G2/M Checkpoints R-HSA-69481	2/148	0.005361339763639019	0.014078338228260734	0	0	20.905163329820866	109.3035115095383	CHEK1;TP53
VEGF Binds To VEGFR Leading To Receptor Dimerization R-HSA-195399	1/8	0.0059852428364459065	0.015239099918014927	0	0	203.85714285714286	1043.434298452164	KDR
SHC-related Events Triggered By IGF1R R-HSA-2428933	1/8	0.0059852428364459065	0.015239099918014927	0	0	203.85714285714286	1043.434298452164	NRAS
EGFR Transactivation By Gastrin R-HSA-2179392	1/8	0.0059852428364459065	0.015239099918014927	0	0	203.85714285714286	1043.434298452164	NRAS
Signaling By TGF-beta Receptor Complex In Cancer R-HSA-3304351	1/8	0.0059852428364459065	0.015239099918014927	0	0	203.85714285714286	1043.434298452164	SMAD4
Regulation Of TP53 Activity R-HSA-5633007	2/157	0.006012138049846984	0.015239099918014927	0	0	19.682382133995038	100.65520712237645	CHEK1;TP53
Innate Immune System R-HSA-168249	4/1035	0.006151719450377429	0.015485362754398355	0	0	6.6851247685389295	34.034128305268865	JUN;NRAS;PIK3CA;TP53
Toll-like Receptor Cascades R-HSA-168898	2/162	0.0063886197275484806	0.015971549318871202	0	0	19.0625	96.32733105600681	JUN;TP53
Cellular Senescence R-HSA-2559583	2/165	0.006619586347399306	0.016163368225410178	0	0	18.708824917413875	93.87568979605086	JUN;TP53
PI3K/AKT Activation R-HSA-198203	1/9	0.006731046493869444	0.016163368225410178	0	0	178.36607142857142	892.013120036697	PIK3CA
Activated NTRK2 Signals Thru FRS2 And FRS3 R-HSA-9028731	1/9	0.006731046493869444	0.016163368225410178	0	0	178.36607142857142	892.013120036697	NRAS
PI5P Regulates TP53 Acetylation R-HSA-6811555	1/9	0.006731046493869444	0.016163368225410178	0	0	178.36607142857142	892.013120036697	TP53
Activation Of PUMA And Translocation To Mitochondria R-HSA-139915	1/9	0.006731046493869444	0.016163368225410178	0	0	178.36607142857142	892.013120036697	TP53
MET Activates RAS Signaling R-HSA-8851805	1/9	0.006731046493869444	0.016163368225410178	0	0	178.36607142857142	892.013120036697	NRAS
Developmental Biology R-HSA-1266738	4/1073	0.006987009631620123	0.016668356310727744	0	0	6.434560761969555	31.93924611857336	SMAD4;JUN;NRAS;PIK3CA
PI3K Events In ERBB4 Signaling R-HSA-1250342	1/10	0.0074763281564485876	0.017381272465628882	0	0	158.53968253968253	776.212425317664	PIK3CA
Activation Of AP-1 Family Of Transcription Factors R-HSA-450341	1/10	0.0074763281564485876	0.017381272465628882	0	0	158.53968253968253	776.212425317664	JUN
RUNX3 Regulates p14-ARF R-HSA-8951936	1/10	0.0074763281564485876	0.017381272465628882	0	0	158.53968253968253	776.212425317664	NRAS
Constitutive Signaling By Overexpressed ERBB2 R-HSA-9634285	1/10	0.0074763281564485876	0.017381272465628882	0	0	158.53968253968253	776.212425317664	NRAS
Killing Mechanisms R-HSA-9664420	1/11	0.008221088123671455	0.01887230921471749	0	0	142.67857142857142	685.0073410932765	JUN
Signaling By Activated Point Mutants Of FGFR1 R-HSA-1839122	1/11	0.008221088123671455	0.01887230921471749	0	0	142.67857142857142	685.0073410932765	FGF4
Hemostasis R-HSA-109582	3/576	0.008349773402542686	0.019047920574550504	0	0	8.469458987783595	40.530772810620874	NRAS;PIK3CA;TP53
FGFR3 Mutant Receptor Activation R-HSA-2033514	1/12	0.008965326705510297	0.01959487573360035	0	0	129.7012987012987	611.4626002996463	FGF4
TP53 Regulates Transcription Of Caspase Activators And Caspases R-HSA-6803207	1/12	0.008965326705510297	0.01959487573360035	0	0	129.7012987012987	611.4626002996463	TP53
GRB2 Events In EGFR Signaling R-HSA-179812	1/12	0.008965326705510297	0.01959487573360035	0	0	129.7012987012987	611.4626002996463	NRAS
TP53 Regulates Transcription Of Death Receptors And Ligands R-HSA-6803211	1/12	0.008965326705510297	0.01959487573360035	0	0	129.7012987012987	611.4626002996463	TP53
p38MAPK Events R-HSA-171007	1/12	0.008965326705510297	0.01959487573360035	0	0	129.7012987012987	611.4626002996463	NRAS
Erythropoietin Activates Phosphoinositide-3-kinase (PI3K) R-HSA-9027276	1/12	0.008965326705510297	0.01959487573360035	0	0	129.7012987012987	611.4626002996463	PIK3CA
